INFO:root:total: 49, batch:0, step:100
INFO:root:total: 49, batch:1, step:100
INFO:root:total: 38, batch:0, step:100
INFO:root:total: 38, batch:1, step:100
INFO:root:total: 83, batch:0, step:100
INFO:root:total: 83, batch:1, step:100
INFO:root:total: 44, batch:0, step:100
INFO:root:total: 44, batch:1, step:100
INFO:root:total: 62, batch:0, step:100
INFO:root:total: 62, batch:1, step:100
INFO:root:total: 8, batch:0, step:100
INFO:root:total: 8, batch:1, step:100
INFO:root:total: 1, batch:0, step:100
INFO:root:total: 1, batch:1, step:100
INFO:root:total: 1, batch:0, step:100
INFO:root:total: 1, batch:1, step:100
INFO:root:total: 0, batch:0, step:100
INFO:root:total: 0, batch:0, step:100
INFO:root:total: 1, batch:0, step:100
INFO:root:total: 1, batch:1, step:100
INFO:root:total: 8, batch:0, step:100
INFO:root:total: 8, batch:1, step:100
INFO:root:total: 3, batch:0, step:100
INFO:root:total: 3, batch:1, step:100
INFO:root:total: 17, batch:0, step:100
INFO:root:total: 17, batch:1, step:100
INFO:root:total: 48, batch:0, step:100
INFO:root:total: 48, batch:1, step:100
INFO:root:total: 36, batch:0, step:100
INFO:root:total: 36, batch:1, step:100
INFO:root:total: 32, batch:0, step:100
INFO:root:total: 32, batch:1, step:100
INFO:root:total: 38, batch:0, step:100
INFO:root:total: 38, batch:1, step:100
INFO:root:total: 44, batch:0, step:100
INFO:root:total: 44, batch:1, step:100
INFO:root:total: 33, batch:0, step:100
INFO:root:total: 33, batch:1, step:100
INFO:root:total: 14, batch:0, step:100
INFO:root:total: 14, batch:1, step:100
INFO:root:total: 72, batch:0, step:100
INFO:root:total: 72, batch:1, step:100
INFO:root:total: 51, batch:0, step:100
INFO:root:total: 51, batch:1, step:100
INFO:root:total: 85, batch:0, step:100
INFO:root:total: 85, batch:1, step:100
INFO:root:total: 84, batch:0, step:100
INFO:root:total: 84, batch:1, step:100
INFO:root:total: 110, batch:0, step:100
INFO:root:total: 110, batch:1, step:100
INFO:root:total: 110, batch:3, step:100
INFO:root:total: 60, batch:0, step:100
INFO:root:total: 60, batch:1, step:100
INFO:root:total: 20, batch:0, step:100
INFO:root:total: 20, batch:1, step:100
INFO:root:total: 108, batch:0, step:100
INFO:root:total: 108, batch:1, step:100
INFO:root:total: 108, batch:2, step:100
INFO:root:total: 49, batch:0, step:100
INFO:root:total: 49, batch:1, step:100
INFO:root:total: 38, batch:0, step:100
INFO:root:total: 38, batch:1, step:100
INFO:root:total: 83, batch:0, step:100
INFO:root:total: 83, batch:1, step:100
INFO:root:total: 44, batch:0, step:100
INFO:root:total: 44, batch:1, step:100
INFO:root:total: 62, batch:0, step:100
INFO:root:total: 62, batch:1, step:100
